brand_id,price,link,title,brand_name
744511504,29949,https://www.gittigidiyor.com/cep-telefonu-ve-aksesuar/apple-iphone-13-pro-max-1-tb-gumus-cep-telefonu-apple-turkiye-garantili_pdp_744511504,Apple iPhone 13 Pro Max 1 Tb Gümüş Cep Telefonu (Apple Türkiye Garantili),Apple
676231120,27716,https://www.gittigidiyor.com/cep-telefonu-ve-aksesuar/apple-iphone-12-pro-max-256gb-gumus-cep-telefonu-apple-turkiye-garantili_pdp_676231120,Apple iPhone 12 Pro Max 256GB Gümüş Cep Telefonu - Apple Türkiye Garantili,Apple
675949921,27643,https://www.gittigidiyor.com/cep-telefonu-ve-aksesuar/apple-iphone-12-pro-max-128gb-grafit-cep-telefonu-apple-turkiye-garantili_pdp_675949921,Apple iPhone 12 Pro Max 128GB Grafit Cep Telefonu - Apple Türkiye Garantili,Apple
675962983,27273,https://www.gittigidiyor.com/cep-telefonu-ve-aksesuar/apple-iphone-12-pro-max-128gb-pasifik-mavisi-cep-telefonu-apple-turkiye-garantili_pdp_675962983,Apple iPhone 12 Pro Max 128GB Pasifik Mavisi Cep Telefonu - Apple Türkiye Garantili,Apple
743985847,26949,https://www.gittigidiyor.com/cep-telefonu-ve-aksesuar/apple-iphone-13-pro-max-256-gb-kursun-gri-cep-telefonu-apple-turkiye-garantili_pdp_743985847,Apple iPhone 13 Pro Max 256 GB Kurşun Gri Cep Telefonu (Apple Türkiye Garantili),Apple
675947336,26181,https://www.gittigidiyor.com/cep-telefonu-ve-aksesuar/apple-iphone-12-pro-max-128gb-gumus-cep-telefonu-apple-turkiye-garantili_pdp_675947336,Apple iPhone 12 Pro Max 128GB Gümüş Cep Telefonu - Apple Türkiye Garantili,Apple
685713903,24568,https://www.gittigidiyor.com/cep-telefonu-ve-aksesuar/apple-iphone-12-pro-256gb-altin-cep-telefonu-apple-turkiye-garantili_pdp_685713903,Apple iPhone 12 Pro 256GB Altın Cep Telefonu - Apple Türkiye Garantili,Apple
739602344,24449,https://www.gittigidiyor.com/cep-telefonu-ve-aksesuar/apple-iphone-13-pro-1-tb-mavi-cep-telefonu-apple-turkiye-garantili_pdp_739602344,Apple iPhone 13 Pro 1 Tb Mavi Cep Telefonu (Apple Türkiye Garantili),Apple
681977683,24077,https://www.gittigidiyor.com/cep-telefonu-ve-aksesuar/apple-iphone-12-pro-128gb-gumus-cep-telefonu-apple-turkiye-garantili_pdp_681977683,Apple iPhone 12 Pro 128GB Gümüş Cep Telefonu - Apple Türkiye Garantili,Apple
742094647,23500,https://www.gittigidiyor.com/cep-telefonu-ve-aksesuar/iphone-13-128gb-try-edition_pdp_742094647,IPHONE 13 128GB TRY EDITION,IPHONE
